job_posting_id,job_title,company_name,company_id,job_location,job_seniority_level,job_function,job_employment_type,job_industries,job_posted_time,job_num_applicants,country_code,title_id
3838084066,Full-Time Lecturer - Sociology 24/26,California Polytechnic State University-San Luis Obispo,15251132,"San Luis Obispo, CA",Entry level,Education and Training,Full-time,Higher Education,4 months ago,25,null,
3979446890,Bakery Cake Designer,"Hy-Vee, Inc.",164249,"Owatonna, MN",Entry level,Management and Manufacturing,Part-time,Retail,1 day ago,25,"""US""",2806
3967266011,Customer Service Rep(04787) - 695 State Road,Domino's,7361,"Emmaus, PA",Entry level,Other,Full-time,Restaurants,8 hours ago,25,"""US""",99
3956508829,"Physician (MD/DO) - Pediatrics - $275,000 to $300,000 per year in Bakersfield, CA",LocumJobsOnline,11172808,"Bakersfield, CA",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,2 weeks ago,25,"""US""",1750
3964645315,Junior Controls (SI) Engineer,BGEN Ltd,2003279,"Scotland, United Kingdom",Entry level,Engineering and Information Technology,Full-time,Construction,1 week ago,25,"""GB""",16284
3913442195,"Owner Operators, Regional Routes make 88% off each load!",Class A Drivers,8334542,"Sioux Falls, SD",Entry level,Business Development and Sales,Full-time,Truck Transportation,2 months ago,25,"""US""",1
3943508004,Support Team Leader- ( Service Manager),The Recruitment Crowd (TRC Group),2987716,"Harrogate, England, United Kingdom",Mid-Senior level,Other,Full-time,Staffing and Recruiting,1 month ago,25,"""GB""",2858
3983503393,Business Operations Analyst,Energy Jobline,2379156,"Telford, England, United Kingdom",Entry level,Business Development and Sales,Full-time,Staffing and Recruiting,1 day ago,25,"""GB""",5109
3968869763,"STORE NON PERISHABLE MANAGER - DGPP - 21 and older only - in CLEAR BROOK, VA S24195",Dollar General,8211,"Clear Brook, VA",Entry level,Sales and Business Development,Temporary,Retail,1 week ago,25,"""US""",7537
3968531551,"Program Manager, Partnerships",Passthrough,66703567,"New York, NY",Mid-Senior level,Project Management and Information Technology,Full-time,Financial Services,4 days ago,25,"""US""",33
3950990804,Occupational Therapist - OT / Occupational Therapist Inpatient - ACUTEI,Cross Country Allied,10451282,"Front Royal, VA",Entry level,Health Care Provider,Full-time,Staffing and Recruiting,4 weeks ago,25,"""US""",964
3968014710,Global Learning Coordinator (Outgoing),Carleton University,7323,"Ottawa, Ontario, Canada",Mid-Senior level,Education and Training,Other,Higher Education,1 week ago,25,"""CA""",4652
3974914130,"Travel Nurse RN - PCU - $1,822 per week in Marquette, MI",Magnet Medical,19225878,"Marquette, MI",Entry level,Management and Manufacturing,Full-time,Staffing and Recruiting,2 days ago,25,"""US""",785
3964309612,Shift Manager,Arby's,11874,"Hutchinson, MN",Mid-Senior level,Management and Manufacturing,Full-time,Restaurants,2 weeks ago,25,"""US""",1114
3955842530,Technical Support Engineer - Cybersecurity Incident Response,Microsoft,1035,"Kansas, United States 32 applicants",Not Applicable,Information Technology,Full-time,Software Development,1 week ago,32,"""US""",369
3978407512,Floor Sweep,Barcadia Bar & Grill,54814820,"New Orleans, LA",Entry level,Other,Part-time,Restaurants,4 hours ago,25,"""US""",
3961301081,Clinic RN,CommonSpirit Health,33458365,"Omaha, NE",Not Applicable,Health Care Provider,Part-time,"Wellness and Fitness Services, Medical Practices, and Hospitals and Health Care",1 month ago,25,"""US""",86
3820319649,Respiratory Therapist (RT) | Respiratory Therapy - Per Diem,HealthTrust Workforce Solutions,3552395,"Jasper, TN",Entry level,Health Care Provider,Part-time,Staffing and Recruiting,5 months ago,25,"""US""",3171
3947189953,Junior Applications Developer,Suffolk County Water Authority,1060529,"Suffolk County, NY",Entry level,Research and Science,Full-time,Utilities,4 weeks ago,25,"""US""",21168
3945942149,Elementary Student Supports Coordinator,East Penn School District,793854,"Emmaus, PA",Entry level,Information Technology,Full-time,Primary and Secondary Education,1 month ago,25,"""US""",1679
3948041788,Licensed Optician,LensCrafters,14088,"New York, NY",Entry level,Health Care Provider,Full-time,Retail Apparel and Fashion,1 month ago,25,"""US""",20291
3968611674,Computational Biology & AI Data Scientist,Roche,1602,"Mississauga, Ontario, Canada",Associate,"Research, Science, and Engineering",Full-time,"Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing",17 hours ago,25,"""CA""",25190
3941855136,Radiologic Technologists - Computed Tomography,Alto Health Care Staffing,3290120,"Springfield, VT",Entry level,Health Care Provider,Contract,Staffing and Recruiting,3 weeks ago,25,"""US""",4627
3950023926,Internal Revenue Agent (Examiner) 12 MONTH ROSTER AMENDED,U.S. Department of the Treasury,5064,"Tucson, AZ",Entry level,Accounting/Auditing and Finance,Internship,Government Administration,1 month ago,25,"""US""",22707
3965923568,Content and Production Manager,ClickJobs.io,3516935,"London, England, United Kingdom",Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Human Resources Services,16 hours ago,25,"""GB""",108
3968935331,Staff Accountant,Chapel Hill Country Club,35595426,"Chapel Hill, NC",Mid-Senior level,Accounting/Auditing and Finance,Full-time,Recreational Facilities,9 hours ago,25,null,255
3979928896,OB Registered Nurse - Days or Nights,ICONMA,55215,"Nome, AK",Entry level,Health Care Provider,Contract,Hospitals and Health Care,2 days ago,25,"""US""",86
3963214833,Product Assembler - Paid Weekly!,National Assemblers Inc.,62194597,"Cullman, AL",Entry level,Management and Manufacturing,Other,Retail,2 weeks ago,25,"""US""",2220
3970495063,"Travel Physical Therapy Assistant (PTA) in Lamar, CO - Excellent Benefits 2024-07-02",AlliedTravelCareers,11092369,"Lamar, CO",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,2 days ago,25,"""US""",474
3965971506,RN Clinical Manager - Wound Healing Center - FT Weekdays Exempt,Lifepoint Health®,52488,"Warrenton, VA",Mid-Senior level,Health Care Provider,Full-time,Hospitals and Health Care,2 weeks ago,25,"""US""",86
3976251611,Chief Technology Officer - Cyber Threat Intelligence,Aspiron Search,79324823,United States,Executive,Information Technology,Full-time,Software Development,5 hours ago,200,"""US""",153
3960990336,"Teacher, First Grade (PO#1063)",Pearland ISD,56205,"Pearland, TX",Entry level,Education and Training,Full-time,Primary and Secondary Education,3 weeks ago,25,"""US""",15
3904262620,Radiology,Net2Source Inc.,226965,"Marble Falls, TX",Entry level,Health Care Provider,Full-time,Staffing and Recruiting,3 months ago,25,"""US""",2982
3979015581,Sr. Geotechnical Engineer - Dynamic Earth,Energy Jobline,2379156,"Bethlehem, PA",Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,3 days ago,25,"""US""",13897
3940169754,Library Aide - Engagement and Outreach,"City of Auburn, AL",951368,"Auburn, AL",Associate,General Business,Full-time,Libraries,1 month ago,25,"""US""",1370
3965849793,Postal Mail Processor,Postal Source,28613119,"Charlotte, NC",Entry level,Administrative,Full-time,Retail Office Equipment,1 week ago,25,"""US""",23311
3939804549,Front Desk Agent,"Oak Grove Racing, Gaming & Hotel",65482697,"Oak Grove, KY",Entry level,Management and Manufacturing,Full-time,Hospitality,2 days ago,25,"""US""",18712
3958848771,Construction Project Manager Trainee,"NVR, Inc.",7783,"York, PA",Internship,"Project Management, Quality Assurance, and Management",Full-time,"Construction, Wholesale Building Materials, and Real Estate",2 weeks ago,25,"""US""",3744
3965541520,Senior Project Manager,Jobot,18860134,"Campbell, CA",Not Applicable,Project Management and Information Technology,Full-time,"Construction, Architecture and Planning, and Building Construction",5 hours ago,25,"""US""",77
3966523266,"Travel Registered Nurse - ICU/Critical Care in Beckley, WV - Excellent Benefits 2024-07-03",TravelNurseSource,1358653,"Huntington, WV",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,17 hours ago,25,"""US""",16996
3964682434,"Retail Sales Associate, $20/Hour, Winter 24-25",June Mountain Ski Area,4597944,"Mammoth Lakes, CA",Entry level,Sales and Business Development,Full-time,Insurance,2 weeks ago,25,"""US""",22483
3978714362,PROPERTY MANAGER,Wisconsin Management Company,946191,"Two Rivers, WI",Mid-Senior level,Sales and Management,Part-time,Real Estate,2 days ago,25,null,320
3958526602,Développeur Logiciel // Software developer,LesJeudis,11084085,Paris,Premier emploi,Ingénierie et Technologies de l’information,Contrat,Services et conseil en informatique,il y a 1 jour,25,"""FR""",9
3953292070,"PB CFO - Performance Management, Associate",Deutsche Bank,1262,"Mumbai, Maharashtra, India",Not Applicable,Finance and Sales,Full-time,Financial Services,11 hours ago,25,"""IN""",68
